id,url,bookTitle,bookImage,bookAuthors
64,https://www.goodreads.com/book/show/5043.The_Pillars_of_the_Earth,The Pillars of the Earth,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576956100l/5043.jpg,Ken Follett
65,https://www.goodreads.com/book/show/149267.The_Stand,The Stand,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1213131305l/149267.jpg,"Stephen King,Bernie Wrightson"
66,https://www.goodreads.com/book/show/76620.Watership_Down,Watership Down,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405136931l/76620.jpg,Richard  Adams
67,https://www.goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes,The Adventures of Sherlock Holmes,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1164045516l/3590.jpg,Arthur Conan Doyle
68,https://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest,One Flew Over the Cuckoo's Nest,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1516211014l/332613._SX318_.jpg,Ken Kesey
69,https://www.goodreads.com/book/show/6514.The_Bell_Jar,The Bell Jar,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554582218l/6514._SY475_.jpg,Sylvia Plath
70,https://www.goodreads.com/book/show/10917.My_Sister_s_Keeper,My Sister's Keeper,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369504683l/10917.jpg,Jodi Picoult
71,https://www.goodreads.com/book/show/10964.Outlander,Outlander,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529065012l/10964._SY475_.jpg,Diana Gabaldon
72,https://www.goodreads.com/book/show/2429135.The_Girl_with_the_Dragon_Tattoo,The Girl with the Dragon Tattoo,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327868566l/2429135.jpg,"Stieg Larsson,Reg Keeland"
73,https://www.goodreads.com/book/show/17899948-rebecca,Rebecca,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386605169l/17899948.jpg,Daphne du Maurier
74,https://www.goodreads.com/book/show/39988.Matilda,Matilda,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388793265l/39988.jpg,"Roald Dahl,Quentin Blake"
75,https://www.goodreads.com/book/show/1934.Little_Women,Little Women,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562690475l/1934._SY475_.jpg,Louisa May Alcott
76,https://www.goodreads.com/book/show/34.The_Fellowship_of_the_Ring,The Fellowship of the Ring,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298411339l/34.jpg,"J.R.R. Tolkien,Francis Ledoux,Maria Skibniewska"
77,https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy,The Hitchhiker's Guide to the Galaxy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1559986152l/386162.jpg,Douglas Adams
